Name,Education Qualification,Gender,Community,Religion,Exservice-men,Disability,Sports,Annual-Percentage,Income,India,Outcome
Scholarship Scheme 61,Doctorate,All,General,Muslim,No,No,No,52.91,High,Yes,0
Scholarship Scheme 62,Doctorate,All,SC,Christian,Yes,No,Yes,60.88,Low,Yes,0
Scholarship Scheme 63,Undergraduate,Male,General,Sikh,Yes,Yes,No,97.98,Low,Yes,0
Scholarship Scheme 64,Undergraduate,All,SC,Christian,No,Yes,No,76.66,High,Yes,0
Scholarship Scheme 65,Doctorate,Male,ST,Hindu,Yes,Yes,Yes,68.88,Low,Yes,1
Scholarship Scheme 66,Postgraduate,Female,ST,Muslim,Yes,Yes,Yes,88.03,Low,Yes,0
Scholarship Scheme 67,High School,Male,General,Christian,No,No,No,76.17,High,Yes,1
Scholarship Scheme 68,Undergraduate,Male,SC,Hindu,Yes,Yes,Yes,50.66,Low,Yes,1
Scholarship Scheme 69,High School,All,General,Christian,No,Yes,No,86.74,Low,Yes,1
Scholarship Scheme 70,Postgraduate,Female,SC,Christian,Yes,Yes,No,86.54,Low,Yes,1
Scholarship Scheme 71,Postgraduate,Female,SC,Muslim,Yes,Yes,Yes,58.24,High,Yes,0
Scholarship Scheme 72,Postgraduate,Female,ST,Sikh,Yes,No,No,97.74,High,Yes,0
Scholarship Scheme 73,Undergraduate,Female,ST,Sikh,Yes,No,Yes,61.17,High,Yes,0
Scholarship Scheme 74,Postgraduate,Male,SC,Hindu,No,Yes,Yes,72.84,Medium,Yes,1
Scholarship Scheme 75,Undergraduate,Female,SC,Hindu,No,Yes,No,55.73,Medium,Yes,0
Scholarship Scheme 76,Postgraduate,Male,SC,Hindu,No,No,Yes,80.1,Medium,Yes,1
Scholarship Scheme 77,High School,Male,ST,Muslim,Yes,No,No,68.74,Medium,Yes,1
Scholarship Scheme 78,High School,Male,ST,Sikh,Yes,Yes,No,67.62,High,Yes,1
Scholarship Scheme 79,Doctorate,Female,OBC,Hindu,No,No,Yes,91.27,Low,Yes,0
Scholarship Scheme 80,High School,All,SC,Hindu,No,No,Yes,50.48,High,Yes,0
Scholarship Scheme 81,Doctorate,All,OBC,Christian,No,Yes,No,89.82,Medium,Yes,1
Scholarship Scheme 82,High School,Female,SC,Christian,No,No,Yes,78.52,High,Yes,1
Scholarship Scheme 83,Undergraduate,All,ST,Hindu,Yes,Yes,No,99.21,Low,Yes,1
Scholarship Scheme 84,High School,All,OBC,Christian,No,Yes,No,79.41,Medium,Yes,1
Scholarship Scheme 85,Doctorate,Male,OBC,Christian,Yes,No,No,52.76,Low,Yes,1
Scholarship Scheme 86,Doctorate,Male,General,Christian,No,No,No,52.53,Low,Yes,0
Scholarship Scheme 87,Postgraduate,Female,SC,Muslim,Yes,No,No,94.07,Low,Yes,1
Scholarship Scheme 88,Undergraduate,Female,ST,Hindu,No,No,Yes,91.98,Medium,Yes,1
Scholarship Scheme 89,High School,All,General,Hindu,No,No,No,67.26,High,Yes,0
Scholarship Scheme 90,Postgraduate,Male,General,Christian,Yes,No,No,80.84,Medium,Yes,0
Scholarship Scheme 91,High School,Female,SC,Muslim,Yes,Yes,No,74.43,Medium,Yes,1
Scholarship Scheme 92,High School,Female,General,Christian,No,No,No,98.26,High,Yes,1
Scholarship Scheme 93,Postgraduate,Female,SC,Muslim,Yes,Yes,No,97.4,High,Yes,0
Scholarship Scheme 94,Postgraduate,Female,General,Hindu,No,No,No,99.09,High,Yes,0
Scholarship Scheme 95,Postgraduate,Female,SC,Christian,Yes,No,Yes,93.24,High,Yes,1
Scholarship Scheme 96,Postgraduate,Female,ST,Hindu,No,No,Yes,95.39,Low,Yes,0
Scholarship Scheme 97,Postgraduate,All,SC,Muslim,No,No,No,60.84,Medium,Yes,0
Scholarship Scheme 98,High School,Male,SC,Sikh,No,No,No,91.47,Medium,Yes,1
Scholarship Scheme 99,Postgraduate,Male,OBC,Muslim,No,Yes,No,85.37,Medium,Yes,0
Scholarship Scheme 100,Undergraduate,Female,ST,Sikh,No,Yes,Yes,98.04,High,Yes,1
Scholarship Scheme 101,Doctorate,Male,ST,Hindu,No,Yes,No,78.51,Medium,Yes,0
Scholarship Scheme 102,Postgraduate,Male,ST,Hindu,No,No,No,54.25,Low,Yes,0
Scholarship Scheme 103,Postgraduate,Male,General,Christian,No,No,No,79.81,Medium,Yes,0
Scholarship Scheme 104,High School,Female,OBC,Sikh,Yes,No,No,84.26,Medium,Yes,0
Scholarship Scheme 105,Postgraduate,Female,ST,Muslim,Yes,Yes,No,60.99,Low,Yes,0
Scholarship Scheme 106,Postgraduate,Male,General,Hindu,Yes,Yes,No,69.67,Low,Yes,1
Scholarship Scheme 107,Postgraduate,Male,General,Sikh,No,No,Yes,79.87,Medium,Yes,0
Scholarship Scheme 108,High School,Female,General,Muslim,No,Yes,No,68.67,High,Yes,1
Scholarship Scheme 109,Postgraduate,All,OBC,Sikh,No,No,No,68.71,High,Yes,0
Scholarship Scheme 110,Doctorate,Male,General,Muslim,Yes,No,No,56.64,Medium,Yes,1
Scholarship Scheme 111,High School,All,OBC,Muslim,Yes,Yes,No,96.94,Medium,Yes,1
Scholarship Scheme 112,Doctorate,Male,SC,Muslim,Yes,Yes,No,87.45,Medium,Yes,0
Scholarship Scheme 113,High School,All,General,Muslim,Yes,Yes,No,50.06,Medium,Yes,0
Scholarship Scheme 114,Postgraduate,All,ST,Sikh,Yes,Yes,No,88.2,High,Yes,1
Scholarship Scheme 115,Doctorate,All,General,Sikh,No,No,No,86.92,Medium,Yes,1
Scholarship Scheme 116,High School,Female,SC,Christian,Yes,No,No,50.49,Low,Yes,0
Scholarship Scheme 117,Undergraduate,All,SC,Sikh,No,Yes,Yes,68.44,High,Yes,0
Scholarship Scheme 118,Postgraduate,All,General,Sikh,No,Yes,Yes,80.28,High,Yes,1
Scholarship Scheme 119,High School,All,SC,Christian,No,Yes,Yes,72.59,Low,Yes,1
Scholarship Scheme 120,Undergraduate,Male,OBC,Sikh,Yes,Yes,No,88.82,Medium,Yes,0
Scholarship Scheme 121,High School,All,OBC,Muslim,Yes,No,Yes,71.23,Medium,Yes,1
Scholarship Scheme 122,Undergraduate,Male,General,Hindu,No,No,Yes,57.68,Medium,Yes,0
Scholarship Scheme 123,Postgraduate,All,OBC,Hindu,Yes,No,Yes,98.72,Medium,Yes,0
Scholarship Scheme 124,Doctorate,All,OBC,Christian,Yes,No,Yes,62.08,Medium,Yes,1
Scholarship Scheme 125,Undergraduate,Female,ST,Sikh,No,No,No,85.81,Low,Yes,1
Scholarship Scheme 126,High School,Male,General,Sikh,No,No,Yes,57.14,Medium,Yes,0
Scholarship Scheme 127,Postgraduate,All,SC,Christian,No,No,Yes,66.42,Low,Yes,0
Scholarship Scheme 128,Undergraduate,Male,General,Hindu,No,Yes,No,72.06,Low,Yes,1
Scholarship Scheme 129,High School,Male,OBC,Muslim,No,No,Yes,59.59,Low,Yes,1
Scholarship Scheme 130,High School,Female,ST,Sikh,Yes,Yes,No,72.45,Medium,Yes,1
Scholarship Scheme 131,High School,Female,General,Christian,No,Yes,Yes,57.84,Medium,Yes,0
Scholarship Scheme 132,Undergraduate,Female,General,Muslim,Yes,Yes,Yes,77.89,High,Yes,0
Scholarship Scheme 133,Undergraduate,Female,OBC,Christian,Yes,No,Yes,83.12,High,Yes,0
Scholarship Scheme 134,Undergraduate,Female,OBC,Christian,No,No,No,53.12,Low,Yes,1
Scholarship Scheme 135,Doctorate,Female,General,Christian,No,No,Yes,93.47,High,Yes,0
Scholarship Scheme 136,Undergraduate,Female,OBC,Hindu,Yes,No,Yes,59.24,Low,Yes,1
Scholarship Scheme 137,Undergraduate,Female,OBC,Hindu,No,Yes,No,61.25,High,Yes,0
Scholarship Scheme 138,Undergraduate,All,OBC,Christian,Yes,No,Yes,83.0,Medium,Yes,0
Scholarship Scheme 139,Doctorate,Male,OBC,Sikh,No,Yes,Yes,73.39,Medium,Yes,1
Scholarship Scheme 140,Undergraduate,Female,OBC,Muslim,No,No,Yes,74.92,Low,Yes,0
Scholarship Scheme 141,High School,Female,ST,Sikh,Yes,No,Yes,56.39,Low,Yes,1
Scholarship Scheme 142,Undergraduate,Male,OBC,Hindu,Yes,Yes,Yes,90.21,Medium,Yes,0
Scholarship Scheme 143,High School,All,SC,Muslim,No,Yes,No,80.79,Medium,Yes,0
Scholarship Scheme 144,High School,Male,General,Christian,No,Yes,No,56.76,Medium,Yes,1
Scholarship Scheme 145,High School,Male,ST,Sikh,No,No,No,68.66,High,Yes,1
Scholarship Scheme 146,Doctorate,Female,ST,Sikh,Yes,No,Yes,90.44,High,Yes,0
Scholarship Scheme 147,Doctorate,Male,OBC,Christian,No,Yes,Yes,78.36,High,Yes,0
Scholarship Scheme 148,Doctorate,Male,General,Sikh,No,No,Yes,55.42,High,Yes,1
Scholarship Scheme 149,Undergraduate,Female,SC,Hindu,No,Yes,Yes,68.6,Low,Yes,0
Scholarship Scheme 150,High School,Female,OBC,Christian,No,No,Yes,62.11,Low,Yes,1
Scholarship Scheme 151,Doctorate,Female,General,Sikh,Yes,Yes,No,75.82,High,Yes,0
Scholarship Scheme 152,Doctorate,Female,OBC,Christian,Yes,Yes,No,92.08,Low,Yes,1
Scholarship Scheme 153,Undergraduate,Male,OBC,Muslim,Yes,No,No,71.77,High,Yes,0
Scholarship Scheme 154,Doctorate,Male,OBC,Christian,No,Yes,Yes,71.62,High,Yes,0
Scholarship Scheme 155,Undergraduate,All,OBC,Sikh,No,No,No,95.18,Medium,Yes,1
Scholarship Scheme 156,Postgraduate,All,OBC,Hindu,No,No,No,78.75,High,Yes,0
Scholarship Scheme 157,Doctorate,Male,OBC,Christian,Yes,Yes,No,78.25,Low,Yes,1
Scholarship Scheme 158,Postgraduate,All,OBC,Christian,Yes,Yes,No,63.07,High,Yes,0
Scholarship Scheme 159,Undergraduate,Male,SC,Sikh,Yes,No,Yes,80.33,Medium,Yes,0
Scholarship Scheme 160,High School,All,ST,Hindu,Yes,No,Yes,78.74,Low,Yes,0
Scholarship Scheme 161,Doctorate,Female,SC,Hindu,No,Yes,No,69.8,Medium,Yes,1
Scholarship Scheme 162,Undergraduate,All,OBC,Muslim,Yes,Yes,No,99.44,High,Yes,0
Scholarship Scheme 163,High School,Female,OBC,Muslim,Yes,Yes,No,94.01,High,Yes,0
Scholarship Scheme 164,High School,Female,SC,Sikh,No,No,No,87.4,High,Yes,1
Scholarship Scheme 165,Postgraduate,Female,SC,Hindu,Yes,No,No,76.81,High,Yes,0
Scholarship Scheme 166,Undergraduate,Female,ST,Hindu,No,No,No,73.06,Low,Yes,0
Scholarship Scheme 167,High School,All,SC,Muslim,No,Yes,No,59.23,High,Yes,0
Scholarship Scheme 168,Doctorate,Male,ST,Muslim,No,Yes,No,65.26,Medium,Yes,0
Scholarship Scheme 169,Doctorate,Female,OBC,Sikh,No,No,No,88.62,Low,Yes,0
Scholarship Scheme 170,Postgraduate,All,General,Hindu,No,No,Yes,72.64,Low,Yes,1
Scholarship Scheme 171,High School,Female,General,Christian,Yes,Yes,No,94.03,Low,Yes,1
Scholarship Scheme 172,Undergraduate,All,General,Muslim,Yes,No,Yes,57.38,Medium,Yes,0
Scholarship Scheme 173,Doctorate,All,General,Sikh,No,Yes,Yes,75.37,Medium,Yes,1
Scholarship Scheme 174,High School,All,OBC,Hindu,Yes,Yes,No,82.28,Medium,Yes,0
Scholarship Scheme 175,High School,Male,General,Hindu,No,Yes,No,75.79,Medium,Yes,0
Scholarship Scheme 176,Postgraduate,All,SC,Muslim,Yes,No,Yes,94.37,High,Yes,1
Scholarship Scheme 177,Doctorate,All,SC,Sikh,Yes,No,Yes,99.38,High,Yes,0
Scholarship Scheme 178,Doctorate,Male,General,Christian,Yes,Yes,No,55.78,Medium,Yes,0
Scholarship Scheme 179,Undergraduate,Male,SC,Muslim,Yes,Yes,Yes,56.48,Medium,Yes,1
Scholarship Scheme 180,Doctorate,All,ST,Sikh,Yes,No,No,56.5,High,Yes,1
Scholarship Scheme 181,Undergraduate,Male,OBC,Hindu,Yes,Yes,No,83.99,High,Yes,0
Scholarship Scheme 182,Doctorate,Female,General,Christian,Yes,No,Yes,68.6,Medium,Yes,0
Scholarship Scheme 183,Postgraduate,Female,General,Sikh,No,No,No,86.59,Low,Yes,0
Scholarship Scheme 184,Doctorate,Male,OBC,Christian,No,No,Yes,70.23,Low,Yes,0
Scholarship Scheme 185,Undergraduate,Male,SC,Sikh,No,Yes,No,81.32,Medium,Yes,1
Scholarship Scheme 186,Undergraduate,All,OBC,Sikh,Yes,Yes,No,88.42,Low,Yes,0
Scholarship Scheme 187,Postgraduate,Male,OBC,Sikh,Yes,Yes,Yes,77.36,High,Yes,1
Scholarship Scheme 188,Doctorate,All,SC,Sikh,No,Yes,Yes,76.92,Low,Yes,0
Scholarship Scheme 189,Doctorate,Female,OBC,Christian,No,No,No,54.4,Medium,Yes,0
Scholarship Scheme 190,Postgraduate,Male,SC,Muslim,Yes,Yes,No,70.5,Low,Yes,0
Scholarship Scheme 191,Doctorate,All,SC,Christian,No,No,Yes,77.23,Low,Yes,0
Scholarship Scheme 192,Doctorate,All,OBC,Sikh,No,Yes,No,73.05,Low,Yes,0
Scholarship Scheme 193,Undergraduate,Female,ST,Christian,No,Yes,Yes,94.95,High,Yes,0
Scholarship Scheme 194,Doctorate,Male,SC,Christian,No,Yes,Yes,95.24,High,Yes,0
Scholarship Scheme 195,Doctorate,Female,OBC,Christian,Yes,Yes,Yes,91.01,High,Yes,0
Scholarship Scheme 196,Postgraduate,All,SC,Sikh,No,Yes,No,68.73,Medium,Yes,0
Scholarship Scheme 197,Postgraduate,All,ST,Christian,No,No,Yes,85.79,Low,Yes,1
Scholarship Scheme 198,High School,Male,ST,Hindu,No,Yes,No,69.72,High,Yes,0
Scholarship Scheme 199,Undergraduate,All,General,Sikh,No,Yes,Yes,61.61,High,Yes,1
Scholarship Scheme 200,Doctorate,Male,SC,Christian,Yes,Yes,No,67.11,Low,Yes,0
Scholarship Scheme 201,Doctorate,Female,SC,Hindu,No,Yes,No,53.54,Medium,Yes,0
Scholarship Scheme 202,High School,Male,OBC,Christian,No,Yes,Yes,66.56,Low,Yes,0
Scholarship Scheme 203,Doctorate,Male,SC,Muslim,No,No,Yes,72.99,Medium,Yes,1
Scholarship Scheme 204,Undergraduate,All,General,Christian,No,Yes,Yes,97.68,Low,Yes,1
Scholarship Scheme 205,High School,All,ST,Christian,No,No,No,65.64,High,Yes,1
Scholarship Scheme 206,Undergraduate,Male,ST,Muslim,Yes,Yes,No,95.03,High,Yes,1
Scholarship Scheme 207,High School,All,General,Sikh,No,No,No,61.42,High,Yes,0
Scholarship Scheme 208,High School,All,SC,Muslim,No,Yes,Yes,59.53,Medium,Yes,1
Scholarship Scheme 209,Postgraduate,All,SC,Sikh,Yes,Yes,Yes,75.9,Low,Yes,1
Scholarship Scheme 210,Undergraduate,Male,General,Muslim,No,No,Yes,83.56,Medium,Yes,0
Scholarship Scheme 211,Doctorate,All,OBC,Christian,Yes,Yes,Yes,52.21,High,Yes,1
Scholarship Scheme 212,Doctorate,Male,ST,Christian,No,No,Yes,61.03,Medium,Yes,1
Scholarship Scheme 213,Undergraduate,All,General,Sikh,Yes,Yes,No,72.74,Medium,Yes,1
Scholarship Scheme 214,Doctorate,Female,General,Sikh,Yes,No,Yes,66.52,Medium,Yes,1
Scholarship Scheme 215,Doctorate,All,SC,Hindu,No,No,No,85.56,Low,Yes,1
Scholarship Scheme 216,Undergraduate,All,ST,Hindu,Yes,No,Yes,75.51,Medium,Yes,1
Scholarship Scheme 217,High School,Male,SC,Christian,No,Yes,Yes,58.0,Medium,Yes,0
Scholarship Scheme 218,Undergraduate,Male,General,Christian,Yes,No,Yes,94.63,Medium,Yes,0
Scholarship Scheme 219,High School,All,OBC,Hindu,Yes,Yes,Yes,64.62,High,Yes,0
Scholarship Scheme 220,Doctorate,Female,ST,Hindu,No,No,Yes,86.48,High,Yes,0
Scholarship Scheme 221,Doctorate,All,General,Sikh,Yes,No,No,88.92,Low,Yes,0
Scholarship Scheme 222,Doctorate,All,General,Muslim,No,No,Yes,98.06,High,Yes,1
Scholarship Scheme 223,Postgraduate,Female,OBC,Sikh,Yes,Yes,No,74.88,Low,Yes,0
Scholarship Scheme 224,High School,Male,General,Hindu,Yes,Yes,No,80.73,High,Yes,1
Scholarship Scheme 225,Postgraduate,All,General,Christian,No,Yes,No,66.71,Low,Yes,1
Scholarship Scheme 226,Postgraduate,Male,ST,Hindu,No,No,No,83.84,Low,Yes,1
Scholarship Scheme 227,Undergraduate,Male,ST,Christian,Yes,Yes,Yes,73.12,Low,Yes,0
Scholarship Scheme 228,Postgraduate,Female,ST,Christian,No,Yes,Yes,71.84,High,Yes,0
Scholarship Scheme 229,Undergraduate,Female,SC,Christian,No,No,Yes,92.69,Medium,Yes,0
Scholarship Scheme 230,Undergraduate,Male,OBC,Christian,Yes,No,Yes,52.5,High,Yes,0
Scholarship Scheme 231,Postgraduate,All,ST,Muslim,Yes,Yes,Yes,94.01,Medium,Yes,1
Scholarship Scheme 232,High School,Male,SC,Hindu,No,Yes,No,92.52,High,Yes,0
Scholarship Scheme 233,High School,All,SC,Sikh,Yes,Yes,Yes,75.27,Medium,Yes,1
Scholarship Scheme 234,High School,All,OBC,Christian,No,No,Yes,74.46,High,Yes,0
Scholarship Scheme 235,High School,Female,OBC,Christian,No,No,No,68.05,Low,Yes,0
Scholarship Scheme 236,High School,All,General,Sikh,No,No,Yes,99.61,Low,Yes,1
Scholarship Scheme 237,Postgraduate,All,SC,Sikh,No,No,Yes,55.55,Low,Yes,0
Scholarship Scheme 238,Postgraduate,Male,ST,Christian,No,No,No,79.45,Medium,Yes,1
Scholarship Scheme 239,Doctorate,Female,OBC,Sikh,No,Yes,Yes,84.02,Medium,Yes,1
Scholarship Scheme 240,High School,All,SC,Sikh,Yes,Yes,No,96.62,Low,Yes,0
Scholarship Scheme 241,Postgraduate,All,ST,Muslim,No,Yes,No,88.93,Medium,Yes,0
Scholarship Scheme 242,Doctorate,Female,SC,Sikh,Yes,No,Yes,82.13,Low,Yes,1
Scholarship Scheme 243,High School,Male,OBC,Hindu,No,No,No,55.83,High,Yes,1
Scholarship Scheme 244,Undergraduate,Female,General,Hindu,Yes,Yes,Yes,68.65,Medium,Yes,0
Scholarship Scheme 245,Doctorate,Female,SC,Hindu,Yes,Yes,Yes,56.93,Medium,Yes,1
Scholarship Scheme 246,Postgraduate,All,ST,Christian,Yes,Yes,Yes,93.97,High,Yes,0
Scholarship Scheme 247,Undergraduate,All,OBC,Hindu,No,No,No,87.41,Medium,Yes,0
Scholarship Scheme 248,Undergraduate,Male,General,Muslim,Yes,No,No,87.8,Medium,Yes,0
Scholarship Scheme 249,Undergraduate,All,ST,Hindu,Yes,No,No,82.55,Medium,Yes,0
Scholarship Scheme 250,Doctorate,All,ST,Christian,No,No,No,75.3,High,Yes,0
Scholarship Scheme 251,Postgraduate,Female,ST,Muslim,Yes,No,No,57.48,Low,Yes,0
Scholarship Scheme 252,Undergraduate,All,SC,Hindu,Yes,Yes,No,66.45,Low,Yes,0
Scholarship Scheme 253,High School,Male,OBC,Muslim,No,Yes,No,56.83,High,Yes,0
Scholarship Scheme 254,Undergraduate,Female,ST,Muslim,Yes,No,No,86.17,High,Yes,1
Scholarship Scheme 255,Undergraduate,Male,SC,Christian,Yes,No,No,58.0,High,Yes,0
Scholarship Scheme 256,Doctorate,Female,OBC,Christian,No,Yes,No,85.04,Low,Yes,1
Scholarship Scheme 257,Doctorate,All,OBC,Muslim,Yes,No,No,84.54,High,Yes,1
Scholarship Scheme 258,Postgraduate,Female,SC,Hindu,Yes,No,Yes,72.92,Low,Yes,0
Scholarship Scheme 259,High School,Female,SC,Christian,Yes,Yes,No,56.75,High,Yes,0
Scholarship Scheme 260,Doctorate,All,ST,Muslim,Yes,No,Yes,65.71,Medium,Yes,0
Scholarship Scheme 261,Undergraduate,All,OBC,Sikh,No,No,Yes,65.97,Low,Yes,1
Scholarship Scheme 262,Postgraduate,Male,General,Sikh,No,Yes,Yes,84.95,Low,Yes,1
Scholarship Scheme 263,Undergraduate,Male,SC,Christian,No,No,Yes,55.68,High,Yes,1
Scholarship Scheme 264,Undergraduate,All,OBC,Hindu,No,No,No,91.37,Medium,Yes,0
Scholarship Scheme 265,Doctorate,All,OBC,Sikh,Yes,Yes,Yes,87.97,Low,Yes,1
Scholarship Scheme 266,Postgraduate,All,ST,Sikh,No,Yes,Yes,59.3,High,Yes,0
Scholarship Scheme 267,High School,Female,General,Sikh,No,No,Yes,85.89,Medium,Yes,1
Scholarship Scheme 268,High School,Female,ST,Hindu,Yes,Yes,No,83.36,Low,Yes,0
Scholarship Scheme 269,Doctorate,Female,General,Hindu,Yes,Yes,Yes,87.33,High,Yes,1
Scholarship Scheme 270,Doctorate,All,General,Christian,Yes,No,Yes,59.43,Medium,Yes,1
Scholarship Scheme 271,Postgraduate,Male,SC,Christian,No,Yes,No,57.86,Low,Yes,1
Scholarship Scheme 272,High School,All,OBC,Sikh,Yes,No,No,61.8,Low,Yes,0
Scholarship Scheme 273,High School,Female,OBC,Hindu,Yes,Yes,No,68.26,Medium,Yes,1
Scholarship Scheme 274,High School,Female,OBC,Muslim,Yes,Yes,No,89.6,High,Yes,0
Scholarship Scheme 275,Undergraduate,All,General,Sikh,No,No,No,86.82,High,Yes,0
Scholarship Scheme 276,High School,All,OBC,Christian,No,No,No,96.18,Medium,Yes,0
Scholarship Scheme 277,Undergraduate,Female,SC,Hindu,No,No,No,52.93,Low,Yes,0
Scholarship Scheme 278,Postgraduate,Female,General,Christian,No,Yes,No,50.58,Medium,Yes,1
